time,msg,sent
2019-07-16 06:32:04,CDR: Roger. Clock.,0
2019-07-16 06:32:13,CDR: Roger. We got a roll program.,0
2019-07-16 06:32:15,CMP: Roger. Roll.,0
2019-07-16 06:32:34,CDR: Roll's complete and the pitch is programed.,0
2019-07-16 06:32:44,CDR: One Bravo.,0
2019-07-16 06:33:02,"CC: Apollo 11, Houston. You're good at 1 minute.",0
2019-07-16 06:33:06,CDR: Roger.,0
2019-07-16 06:33:54,CC: Stand by for mode 1 Charlie.,0
2019-07-16 06:33:57,CC: MARK.,0
2019-07-16 06:33:58,CC: Mode 1 Charlie.,0
2019-07-16 06:33:59,CDR: One Charlie.,0
2019-07-16 06:34:03,"CC: Apollo 11, this is Houston. You are GO for staging.",0
2019-07-16 06:34:17,CDR: Inboard cut-off.,0
2019-07-16 06:34:19,CC: We confirm inboard cut-off.,0
2019-07-16 06:34:44,CDR: Staging.,0
2019-07-16 06:34:46,CDR: And ignition.,0
2019-07-16 06:34:55,"CC: 11, Houston. Thrust is GO, all engines. You're looking good.",0
2019-07-16 06:34:59,"CDR: Roger. You're loud and clear, Houston.",0
2019-07-16 06:35:13,CDR: We've got skirt SEP.,0
2019-07-16 06:35:15,CC: Roger. We confirm. Skirt SEP.,0
2019-07-16 06:35:17,CDR: Tower's gone.,0
2019-07-16 06:35:19,CC: Roger. Tower.,0
2019-07-16 06:35:28,"CDR: Houston, be advised the visual is GO today.",0
2019-07-16 06:35:32,CC: This is Houston. Roger. Out.,0
2019-07-16 06:35:36,CDR: Yes. They finally gave me a window to look out.,0
2019-07-16 06:35:44,"CC: 11, Houston. Your guidance has converged; you're looking good.",0
2019-07-16 06:35:52,CDR: Roger.,0
2019-07-16 06:36:01,"CC: 11, Houston. YOU are GO at 4 minutes.",0
2019-07-16 06:36:04,CDR: Roger.,0
2019-07-16 06:37:03,"CC: 11, Houston. You are GO at 5 minutes.",0
2019-07-16 06:37:06,CDR: Roger. It'll - Apollo 11. Go.,0
2019-07-16 06:37:21,CC: Stand by the S-IVB to COI capability.,0
2019-07-16 06:37:25,CDR: Okay.,0
2019-07-16 06:37:27,CC: MARK.,0
2019-07-16 06:37:28,CC: S-IVB to COI capability.,0
2019-07-16 06:37:30,CDR: Roger.,0
2019-07-16 06:37:35,"CDR: You sure sound clear down there, Bruce. Sounds like you're sitting in your living room.",0
2019-07-16 06:37:39,"CC: Oh, thank you. You all are coming through beautifully, too.",0
2019-07-16 06:38:00,CDR: We're doing 6 minutes. Starting the gimbal motors.,0
2019-07-16 06:38:03,"CC: Roger, 11. You're GO from the ground at 6 minutes.",0
2019-07-16 06:38:20,"CC: Apollo 11, this is Houston. Level sense arm at 8 plus 17; outboard cut-off at 9 plus 11.",0
2019-07-16 06:39:01,CDR: Apollo 11's GO at 7 minutes.,0
2019-07-16 06:39:04,"CC: 11, this is Houston. Roger. You're GO from the ground at 7 minutes. Level sense arm at 8 plus 17; outboard cut-off at 9 plus 11.",0
2019-07-16 06:39:09,CDR: Roger.,0
2019-07-16 06:39:42,CDR: Inboard cut-off.,0
2019-07-16 06:39:45,CC: Roger. We confirmed.,0
2019-07-16 06:40:19,"CC: Apollo 11, Houston. You are GO at 8 minutes.",0
2019-07-16 06:40:22,CDR: AGS just got the mixture ratio shift.,0
2019-07-16 06:40:24,"CC: Roger. We got PU shift down here, too.",0
2019-07-16 06:40:34,"CDR: Well, it looks like a nice day for it. These thunderstorms down range is about all.",0
2019-07-16 06:40:52,"CC: 11, this is Houston. You are GO for staging. Over.",0
2019-07-16 06:40:56,"CDR: Understand, GO for staging. And - -",0
2019-07-16 06:40:57,CC: Stand by for mode IV capability.,0
2019-07-16 06:40:59,CDR: Okay. Mode IV.,0
2019-07-16 06:41:00,CC: MARK.,0
2019-07-16 06:41:01,CC: Mode IV capability.,0
2019-07-16 06:41:15,CDR: Staging -,0
2019-07-16 06:41:16,CDR: - And ignition.,0
2019-07-16 06:41:19,"CC: Ignition confirmed; thrust is GO, 11.",0
2019-07-16 06:42:01,"CC: Apollo 11, this is Houston. At 10 minutes, you are GO.",0
2019-07-16 06:42:06,CDR: Roger. 11's GO.,0
2019-07-16 06:42:24,"CC: Apollo 11, this is Houston. Predicted cut-off at 11 plus 42. Over.",0
2019-07-16 06:42:29,CDR: 11 42. Roger.,0
2019-07-16 06:43:03,"CC: Apollo 11, this is Houston. You are GO at 11.",0
2019-07-16 06:43:08,CDR: Good deal.,0
2019-07-16 06:43:42,CDR: Shutdown.,0
2019-07-16 06:43:45,CMP: SECO. We are showing 101.4 by 103.6.,0
2019-07-16 06:43:51,CC: Roger. Shutdown. We copy 101.4 by 103.6.,0
2019-07-16 06:44:06,"CC: Apollo 11, this is Houston. You are confirmed GO for orbit.",0
2019-07-16 06:44:12,CDR: Roger.,0
2019-07-16 06:44:24,"CC: Apollo 11, this is Houston. The booster is safe.",0
2019-07-16 06:44:29,CDR: Roger.,0
2019-07-16 06:45:27,"CC: Apollo 11, this is Houston. The booster has been configured for orbital coast. Both spacecraft are looking good. Over.",0
2019-07-16 06:45:35,CDR: Roger.,0
2019-07-16 06:46:33,"CC: Apollo 11, this is Houston. Vanguard LOS at 15 35; AOS Canaries at 16 30. Over.",0
2019-07-16 06:46:43,CDR: Okay. Thank you.,0
2019-07-16 06:49:38,CT: ... Houston COMM TECH. Canary COMM TECH.,0
2019-07-16 06:50:18,"CC: Apollo 11, this is Houston through Canary. Over.",0
2019-07-16 06:50:23,"CDR: Roger. Reading you loud and clear. Our insertion checklist is complete, and we have no abnormalities.",0
2019-07-16 06:50:30,CC: Roger. And I'd like to pass up your Delta azimuth correction at this time if you're ready to copy.,0
2019-07-16 06:50:36,CDR: Stand by.,0
2019-07-16 06:50:40,CDR: Roger. Go ahead. Ready to copy.,0
2019-07-16 06:50:42,"CC: Okay. Delta azimuth correction is plus 0.22, that is plus 0.22, and we do recommend the P52 alignment. Over.",0
2019-07-16 06:50:54,"CDR: Okay. We'll go ahead with the P52, and detecting angle plus 0.22.",0
2019-07-16 06:51:01,CC: Roger. And your LOS time at Canary is 23 37. Over.,0
2019-07-16 06:51:09,CDR: 23 37.,0
2019-07-16 06:51:11,CC: Houston. Roger. Out.,0
2019-07-16 06:54:41,"CC: Apollo 11, this is Houston. One minute to LOS Canary; A0S at Tananarive 37 04 in VHF Simplex Alfa. Over.",0
2019-07-16 06:55:08,"CC: Apollo 11, this is Houston. Coming up on LOS Canary; AOS Tananarive at 37 04, Simplex Alfa. Houston. Out.",0
2019-07-16 06:55:23,CDR: Apollo. Roger.,0
2019-07-16 07:10:37,"CC: Apollo 11, this is Houston through Tananarive. Over.",0
2019-07-16 07:10:50,"CC: Apollo 11, Apollo 11, this is Houston through Tananarive. Over.",0
2019-07-16 07:11:04,"CDR: Houston, Apollo 11. Read you on VHF A Simplex. How do you read? Over.",0
2019-07-16 07:11:10,"CC: Roger, 11. This is Houston. We're reading you loud and fairly clearly. For your information, Canary radar shows you in a 103.0 by 103.0 orbit. Over.",0
2019-07-16 07:11:25,CDR: Beautiful.,0
2019-07-16 07:11:27,CC: Roger. We concur.,0
2019-07-16 07:11:31,CDR: ... We're just coming into the terminator here.,0
2019-07-16 07:13:44,"CC: Apollo 11, this is Houston. One minute to LOS Tananarive; AOS Carnarvon is at 52 15. Over.",0
2019-07-16 07:13:54,CDR: All alone. Roger.,0
2019-07-16 07:15:13,CT: TAN LOS.,0
2019-07-16 07:25:03,"CC: Apollo 11, this is Houston through Carnarvon. Over.",0
2019-07-16 07:25:08,"LMP: Houston, Apollo 11. Loud and clear. Over.",0
2019-07-16 07:25:11,"CC: Roger, 11. We're reading you the same. Both the booster and the spacecraft are looking good to us. Over.",0
2019-07-16 07:25:26,"LMP: Houston, Apollo 11. Would you like to copy the alignment results?",0
2019-07-16 07:25:31,CC: That's affirmative.,0
